Depth,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14

2,0.003406381607055664,0.003398227691650391,0.003395962715148926,0.004603767395019531,0.004598927497863769,0.005497288703918457,0.00590062141418457,0.00599973201751709,0.00639955997467041,0.00814957618713379

3,0.003199481964111328,0.003298377990722656,0.004003977775573731,0.004505228996276855,0.004999232292175293,0.005098557472229004,0.005299854278564453,0.006696677207946778,0.00809793472290039,0.00860137939453125

4,0.0029007673263549806,0.0036005735397338866,0.0034999847412109375,0.00500645637512207,0.004995656013488769,0.005600166320800781,0.005403304100036621,0.006399893760681152,0.0076002836227416996,0.008805441856384277

5,0.002952170372009277,0.0032059431076049806,0.003301692008972168,0.003960275650024414,0.004996466636657715,0.005100440979003906,0.006602787971496582,0.006301283836364746,0.005504417419433594,0.007200002670288086

